code,term
10073911000001106,Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
10074411000001100,Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
10074611000001102,Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
10272811000001101,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd) (AMP)
10273211000001108,Budesonide 1mg/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd) (AMP)
10273611000001105,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Teva UK Ltd) (AMP)
10274211000001106,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Teva UK Ltd) (AMP)
10326511000001109,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Kent Pharma (UK) Ltd) (AMP)
10326711000001104,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Kent Pharma (UK) Ltd) (AMP)
10347711000001104,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Alliance Healthcare (Distribution) Ltd) (AMP)
10347911000001102,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Alliance Healthcare (Distribution) Ltd) (AMP)
10453011000001102,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Arrow Generics Ltd) (AMP)
10453211000001107,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Arrow Generics Ltd) (AMP)
10472811000001102,Seretide 250 Evohaler (Dowelhurst Ltd) (AMP)
10473211000001109,Seretide 125 Evohaler (Dowelhurst Ltd) (AMP)
10506611000001103,Symbicort 400/12 Turbohaler (Waymade Healthcare Plc) (AMP)
10512011000001109,Seretide 125 Evohaler (Waymade Healthcare Plc) (AMP)
10527411000001109,Pulmicort LS 50micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
10617711000001103,Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd) (AMP)
10618211000001109,Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd) (AMP)
10619311000001107,Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd) (AMP)
10619611000001102,Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd) (AMP)
10621011000001101,Beclometasone 200micrograms/dose inhaler CFC free (VMP)
10621111000001100,Beclometasone 250micrograms/dose inhaler CFC free (VMP)
10785011000001101,Pulmicort 1mg Respules (Waymade Healthcare Plc) (AMP)
10834011000001106,Flixotide 2mg/2ml Nebules (Waymade Healthcare Plc) (AMP)
10835911000001109,Flixotide 25micrograms/dose inhaler (Waymade Healthcare Plc) (AMP)
10838111000001101,Becodisks 200microgram (Waymade Healthcare Plc) (AMP)
10838311000001104,Becodisks 400microgram (Waymade Healthcare Plc) (AMP)
10844511000001104,Becotide 200 inhaler (Waymade Healthcare Plc) (AMP)
10855011000001109,Flixotide 50micrograms/dose Evohaler (Waymade Healthcare Plc) (AMP)
10983311000001107,Symbicort 100/6 Turbohaler (Waymade Healthcare Plc) (AMP)
11005511000001104,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Accord-UK Ltd) (AMP)
11005711000001109,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Accord-UK Ltd) (AMP)
11400011000001108,Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd) (AMP)
11400511000001100,Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd) (AMP)
11400811000001102,Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd) (AMP)
12888311000001102,Flixotide 0.5mg/2ml Nebules (Waymade Healthcare Plc) (AMP)
12906411000001100,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd) (AMP)
12911011000001100,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
13180411000001105,Beclazone 100 Easi-Breathe inhaler (Dowelhurst Ltd) (AMP)
13180811000001107,Beclazone 250 Easi-Breathe inhaler (Dowelhurst Ltd) (AMP)
13181011000001105,Beclazone 50 Easi-Breathe inhaler (Dowelhurst Ltd) (AMP)
13186411000001107,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Dowelhurst Ltd) (AMP)
13186811000001109,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Dowelhurst Ltd) (AMP)
13206411000001106,Symbicort 100/6 Turbohaler (Dowelhurst Ltd) (AMP)
13206611000001109,Symbicort 400/12 Turbohaler (Dowelhurst Ltd) (AMP)
13841811000001102,Flixotide 50micrograms/dose Accuhaler (Waymade Healthcare Plc) (AMP)
13876511000001105,Flixotide 100micrograms/dose Accuhaler (DE Pharmaceuticals) (AMP)
13876711000001100,Flixotide 250micrograms/dose Accuhaler (DE Pharmaceuticals) (AMP)
13876911000001103,Flixotide 500micrograms/dose Accuhaler (DE Pharmaceuticals) (AMP)
13877111000001103,Flixotide 250microgram disks (DE Pharmaceuticals) (AMP)
13877311000001101,Flixotide 500microgram disks (DE Pharmaceuticals) (AMP)
13877511000001107,Flixotide 125micrograms/dose Evohaler (DE Pharmaceuticals) (AMP)
13877711000001102,Flixotide 250micrograms/dose Evohaler (DE Pharmaceuticals) (AMP)
13878311000001100,Flixotide 0.5mg/2ml Nebules (DE Pharmaceuticals) (AMP)
13878511000001106,Flixotide 2mg/2ml Nebules (DE Pharmaceuticals) (AMP)
13952211000001103,Pulmicort 0.5mg Respules (DE Pharmaceuticals) (AMP)
13952511000001100,Pulmicort 1mg Respules (DE Pharmaceuticals) (AMP)
13952811000001102,Pulmicort 100 Turbohaler (DE Pharmaceuticals) (AMP)
13953111000001103,Pulmicort 200 Turbohaler (DE Pharmaceuticals) (AMP)
13953611000001106,Pulmicort 400 Turbohaler (DE Pharmaceuticals) (AMP)
13954711000001100,Qvar 100 inhaler (DE Pharmaceuticals) (AMP)
13958011000001106,Symbicort 100/6 Turbohaler (DE Pharmaceuticals) (AMP)
13958611000001104,Symbicort 200/6 Turbohaler (DE Pharmaceuticals) (AMP)
13959211000001106,Symbicort 400/12 Turbohaler (DE Pharmaceuticals) (AMP)
13961211000001104,Pulmicort LS 50micrograms/dose inhaler (DE Pharmaceuticals) (AMP)
13997111000001100,Seretide 100 Accuhaler (DE Pharmaceuticals) (AMP)
13997511000001109,Seretide 250 Accuhaler (DE Pharmaceuticals) (AMP)
13998111000001104,Seretide 125 Evohaler (DE Pharmaceuticals) (AMP)
13998411000001109,Seretide 250 Evohaler (DE Pharmaceuticals) (AMP)
14233711000001100,Flixotide 100micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14233911000001103,Flixotide 500micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14234111000001104,Flixotide 250micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14234311000001102,Flixotide 50micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14234511000001108,Flixotide 125micrograms/dose Evohaler (Sigma Pharmaceuticals Plc) (AMP)
14234711000001103,Flixotide 250micrograms/dose Evohaler (Sigma Pharmaceuticals Plc) (AMP)
14234911000001101,Flixotide 0.5mg/2ml Nebules (Sigma Pharmaceuticals Plc) (AMP)
14235111000001100,Flixotide 2mg/2ml Nebules (Sigma Pharmaceuticals Plc) (AMP)
14235311000001103,Flixotide 100microgram disks (Sigma Pharmaceuticals Plc) (AMP)
14235511000001109,Flixotide 250microgram disks (Sigma Pharmaceuticals Plc) (AMP)
14235711000001104,Flixotide 500microgram disks (Sigma Pharmaceuticals Plc) (AMP)
14238811000001103,Fluticasone 250micrograms/dose Evohaler (Sigma Pharmaceuticals Plc) (AMP)
14382711000001109,Pulmicort 1mg Respules (Sigma Pharmaceuticals Plc) (AMP)
14386211000001101,Pulmicort 0.5mg Respules (Sigma Pharmaceuticals Plc) (AMP)
14387611000001102,Pulmicort 400 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14390211000001104,Pulmicort 100 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14390411000001100,Pulmicort 200 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14616311000001102,Qvar 100 Autohaler (Sigma Pharmaceuticals Plc) (AMP)
14616611000001107,Qvar 100 inhaler (Sigma Pharmaceuticals Plc) (AMP)
14620511000001104,Symbicort 100/6 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14620711000001109,Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14621111000001102,Symbicort 400/12 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14674111000001100,Seretide 100 Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14674711000001104,Seretide 250 Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14705211000001107,Seretide 500 Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
14705411000001106,Seretide 125 Evohaler (Sigma Pharmaceuticals Plc) (AMP)
14705811000001108,Seretide 250 Evohaler (Sigma Pharmaceuticals Plc) (AMP)
14755711000001106,Qvar 100 Autohaler (Waymade Healthcare Plc) (AMP)
14951111000001102,Pulmicort 100micrograms/dose inhaler CFC free (AstraZeneca UK Ltd) (AMP)
14959511000001107,Budesonide 100micrograms/dose inhaler CFC free (VMP)
15052211000001104,Beclometasone 200micrograms/dose inhaler (Sigma Pharmaceuticals Plc) (AMP)
15060511000001109,Budesonide 1mg/2ml nebuliser liquid unit dose vials (Sigma Pharmaceuticals Plc) (AMP)
15358411000001102,Pulmicort 200micrograms/dose inhaler CFC free (AstraZeneca UK Ltd) (AMP)
15374611000001106,Budesonide 200micrograms/dose inhaler CFC free (VMP)
15418911000001106,Qvar 100micrograms/dose Easi-Breathe inhaler (Waymade Healthcare Plc) (AMP)
15884311000001105,Qvar 100 inhaler (Waymade Healthcare Plc) (AMP)
16140411000001105,Becodisks 200microgram (Lexon (UK) Ltd) (AMP)
16140911000001102,Becodisks 400microgram (Lexon (UK) Ltd) (AMP)
16179611000001103,Flixotide 250micrograms/dose Accuhaler (Lexon (UK) Ltd) (AMP)
16179811000001104,Flixotide 500micrograms/dose Accuhaler (Lexon (UK) Ltd) (AMP)
16180011000001105,Flixotide 125micrograms/dose Evohaler (Lexon (UK) Ltd) (AMP)
16180211000001100,Flixotide 250micrograms/dose Evohaler (Lexon (UK) Ltd) (AMP)
16180411000001101,Flixotide 0.5mg/2ml Nebules (Lexon (UK) Ltd) (AMP)
16180611000001103,Flixotide 2mg/2ml Nebules (Lexon (UK) Ltd) (AMP)
16230011000001102,Pulmicort 100 Turbohaler (Lexon (UK) Ltd) (AMP)
16230211000001107,Pulmicort 200 Turbohaler (Lexon (UK) Ltd) (AMP)
16230511000001105,Pulmicort 400 Turbohaler (Lexon (UK) Ltd) (AMP)
16230911000001103,Pulmicort 0.5mg Respules (Lexon (UK) Ltd) (AMP)
16231411000001102,Pulmicort 1mg Respules (Lexon (UK) Ltd) (AMP)
16232011000001103,Qvar 100 Autohaler (Lexon (UK) Ltd) (AMP)
16240811000001109,Seretide 100 Accuhaler (Lexon (UK) Ltd) (AMP)
16241011000001107,Seretide 250 Accuhaler (Lexon (UK) Ltd) (AMP)
16241111000001108,Seretide 500 Accuhaler (Lexon (UK) Ltd) (AMP)
16241311000001105,Seretide 125 Evohaler (Lexon (UK) Ltd) (AMP)
16241511000001104,Seretide 250 Evohaler (Lexon (UK) Ltd) (AMP)
16277711000001101,Becodisks 200microgram (Mawdsley-Brooks & Company Ltd) (AMP)
16278211000001107,Becodisks 400microgram (Mawdsley-Brooks & Company Ltd) (AMP)
16545111000001101,Flixotide 250micrograms/dose Accuhaler (Stephar (U.K.) Ltd) (AMP)
16545311000001104,Flixotide 125micrograms/dose Evohaler (Stephar (U.K.) Ltd) (AMP)
16545511000001105,Flixotide 250micrograms/dose Evohaler (Stephar (U.K.) Ltd) (AMP)
16579011000001104,Flixotide 50micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
16579211000001109,Flixotide 100micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
16579411000001108,Flixotide 250micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
16579611000001106,Flixotide 500micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
16579811000001105,Flixotide 125micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
16580011000001104,Flixotide 250micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
16580211000001109,Flixotide 0.5mg/2ml Nebules (Mawdsley-Brooks & Company Ltd) (AMP)
16580411000001108,Flixotide 2mg/2ml Nebules (Mawdsley-Brooks & Company Ltd) (AMP)
16581211000001103,Fluticasone 250micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
16586711000001104,Pulmicort 400 Turbohaler (Stephar (U.K.) Ltd) (AMP)
16587011000001103,Pulmicort 0.5mg Respules (Stephar (U.K.) Ltd) (AMP)
16587211000001108,Pulmicort 1mg Respules (Stephar (U.K.) Ltd) (AMP)
16587911000001104,Seretide 100 Accuhaler (Stephar (U.K.) Ltd) (AMP)
16588111000001101,Seretide 250 Evohaler (Stephar (U.K.) Ltd) (AMP)
16728511000001101,Seretide 50 Evohaler (Waymade Healthcare Plc) (AMP)
17425011000001106,Pulmicort 0.5mg Respules (Mawdsley-Brooks & Company Ltd) (AMP)
17425311000001109,Pulmicort 1mg Respules (Mawdsley-Brooks & Company Ltd) (AMP)
17425611000001104,Pulmicort 100 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17425811000001100,Pulmicort 200 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17426011000001102,Pulmicort 400 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17426811000001108,Qvar 50 inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17427011000001104,Qvar 100 inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17427211000001109,Qvar 100 Autohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17440111000001102,Seretide 100 Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17440311000001100,Seretide 250 Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17440511000001106,Seretide 500 Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17440711000001101,Seretide 125 Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17440911000001104,Seretide 250 Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457311000001102,Symbicort 100/6 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457611000001107,Symbicort 200/6 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457811000001106,Symbicort 400/12 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17490511000001100,Alvesco 160 inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17505711000001109,Flixotide 50micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd) (AMP)
