code,term
10073011000001107,Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd) (AMP)
10075611000001101,Salmeterol 25micrograms/dose inhaler CFC free (VMP)
10472811000001102,Seretide 250 Evohaler (Dowelhurst Ltd) (AMP)
10473211000001109,Seretide 125 Evohaler (Dowelhurst Ltd) (AMP)
10506611000001103,Symbicort 400/12 Turbohaler (Waymade Healthcare Plc) (AMP)
10512011000001109,Seretide 125 Evohaler (Waymade Healthcare Plc) (AMP)
10785411000001105,Singulair Paediatric 4mg chewable tablets (Waymade Healthcare Plc) (AMP)
10847711000001102,Serevent 25micrograms/dose Evohaler (Waymade Healthcare Plc) (AMP)
10983311000001107,Symbicort 100/6 Turbohaler (Waymade Healthcare Plc) (AMP)
11176411000001106,Formoterol Easyhaler 12micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
12626211000001108,Formoterol 12microgram inhalation powder capsules with device (VMP)
12906411000001100,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd) (AMP)
12911011000001100,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
13203711000001107,Serevent 25micrograms/dose Evohaler (Dowelhurst Ltd) (AMP)
13206411000001106,Symbicort 100/6 Turbohaler (Dowelhurst Ltd) (AMP)
13206611000001109,Symbicort 400/12 Turbohaler (Dowelhurst Ltd) (AMP)
13822911000001103,Accolate 20mg tablets (DE Pharmaceuticals) (AMP)
13943811000001108,Oxis 6 Turbohaler (DE Pharmaceuticals) (AMP)
13944011000001100,Oxis 12 Turbohaler (DE Pharmaceuticals) (AMP)
13958011000001106,Symbicort 100/6 Turbohaler (DE Pharmaceuticals) (AMP)
13958611000001104,Symbicort 200/6 Turbohaler (DE Pharmaceuticals) (AMP)
13959211000001106,Symbicort 400/12 Turbohaler (DE Pharmaceuticals) (AMP)
13997111000001100,Seretide 100 Accuhaler (DE Pharmaceuticals) (AMP)
13997511000001109,Seretide 250 Accuhaler (DE Pharmaceuticals) (AMP)
13997811000001107,Serevent 50micrograms/dose Accuhaler (DE Pharmaceuticals) (AMP)
13998111000001104,Seretide 125 Evohaler (DE Pharmaceuticals) (AMP)
13998411000001109,Seretide 250 Evohaler (DE Pharmaceuticals) (AMP)
14002711000001107,Singulair Paediatric 4mg chewable tablets (DE Pharmaceuticals) (AMP)
